Dept,CourseName,Instructor
MUSC,Violin (Juried),Mary Horozaniecki
MUSC,Viola,"Staff, Hector Valdivia"
MUSC,Viola,Hector Valdivia
MUSC,Viola,Liz Ericksen
MUSC,Viola,Mary Horozaniecki
MUSC,Viola (Juried),"Staff, Hector Valdivia"
MUSC,Viola (Juried),Hector Valdivia
MUSC,Viola (Juried),Liz Ericksen
MUSC,Viola (Juried),Mary Horozaniecki
MUSC,Cello,"Thomas Rosenberg, Zachery Pelletier"
MUSC,Cello (Juried),"Thomas Rosenberg, Zachery Pelletier"
MUSC,Classical String Bass,Connie Martin
MUSC,Classical String Bass (Juried),Connie Martin
MUSC,Flute,Martha Jamsa
MUSC,Flute (Juried),Martha Jamsa
MUSC,Oboe,Merilee Klemp
MUSC,English Horn,Merilee Klemp
MUSC,Oboe (Juried),Merilee Klemp
MUSC,English Horn (Juried),Merilee Klemp
MUSC,Clarinet,Nina Olsen
MUSC,Clarinet (Juried),Nina Olsen
MUSC,Saxophone,Greg Keel
MUSC,Saxophone (Juried),Greg Keel
MUSC,Bassoon,Ann Pesavento
MUSC,Bassoon (Juried),Ann Pesavento
MUSC,French Horn,Gwen Anderson
MUSC,French Horn (Juried),Gwen Anderson
MUSC,Trumpet,Lynn Deichert
MUSC,Trumpet (Juried),Lynn Deichert
MUSC,Trombone,Ronald Rodman
MUSC,Euphonium,Ronald Rodman
MUSC,Trombone (Juried),Ronald Rodman
MUSC,Euphonium (Juried),Ronald Rodman
MUSC,Tuba,Ronald Rodman
MUSC,Tuba (Juried),Ronald Rodman
MUSC,Orchestral Percussion,Jay Johnson
MUSC,Orchestral Percussion (Juried),Jay Johnson
MUSC,Harp,Elinor Niemisto
MUSC,Harp (Juried),Elinor Niemisto
MUSC,Harpsichord,Janean Hall
MUSC,Harpsicord (Juried),Janean Hall
MUSC,Organ,Janean Hall
MUSC,Organ (Juried),Janean Hall
MUSC,Recorder,Mark Krusemeyer
MUSC,Recorder (Juried),Mark Krusemeyer
MUSC,Jazz Piano,Laura Caviani
MUSC,Jazz Piano (Juried),Laura Caviani
MUSC,Electric &amp; Acoustic Bass,Travis Schilling
MUSC,Electric &amp; Acoustic Bass (Juried),Travis Schilling
MUSC,Jazz and Blues Guitar,Zacc Harris
MUSC,Jazz and Blues Guitar (Juried),Zacc Harris
MUSC,Drum Set Instruction,Jay Johnson
MUSC,Drum Set Instruction (Juried),Jay Johnson
MUSC,Jazz Improvisation,Staff
MUSC,Jazz Improvisation (Juried),Staff
MUSC,Raga: Vocal or Instrumental Study of Hindustani Music,David Whetstone
MUSC,Raga: Vocal or Instrumental Study of Hindustani Music,David Whetstone
MUSC,Sitar,David Whetstone
MUSC,Sitar (Juried),David Whetstone
MUSC,Chinese Musical Instruments,Gao Hong
MUSC,Chinese Musical Instruments (Juried),Gao Hong
MUSC,Ethnic Drumming Instruction,Jay Johnson
MUSC,Ethnic Drumming Instruction (Juried),Jay Johnson
MUSC,American Folk Instruments,Mark Kreitzer
MUSC,American Folk Instruments (Juried),Mark Kreitzer
MUSC,Class Guitar,Mark Kreitzer
MUSC,African Drum Class,Jay Johnson
MUSC,Piano,"Staff, Nikki Melville"
MUSC,Piano,Nikki Melville
MUSC,Piano,Loren Fishman
MUSC,Piano,Matthew McCright
MUSC,Piano,Marcia Widman
MUSC,Piano (Juried),"Staff, Nikki Melville"
MUSC,Piano (Juried),Nikki Melville
MUSC,Piano (Juried),Loren Fishman
MUSC,Piano (Juried),Matthew McCright
MUSC,Piano (Juried),Marcia Widman
MUSC,Voice,"Staff, Lawrence Burnett"
MUSC,Voice,Lawrence Burnett
MUSC,Voice,Ben Allen
MUSC,Voice,Patricia Kent
MUSC,Voice,Mary Martz
MUSC,Voice,Rick Penning
MUSC,Voice (Juried),"Staff, Lawrence Burnett"
MUSC,Voice (Juried),Lawrence Burnett
MUSC,Voice (Juried),Ben Allen
MUSC,Voice (Juried),Patricia Kent
MUSC,Voice (Juried),Mary Martz
MUSC,Voice (Juried),Rick Penning
MUSC,Guitar,Mark Kreitzer
MUSC,Guitar (Juried),Mark Kreitzer
MUSC,Violin,"Staff, Hector Valdivia"
MUSC,Violin,Hector Valdivia
MUSC,Violin,Liz Ericksen
MUSC,Violin,Mary Horozaniecki
MUSC,Violin (Juried),"Staff, Hector Valdivia"
MUSC,Violin (Juried),Hector Valdivia
MUSC,Violin (Juried),Liz Ericksen
MUSC,Violin (Juried),Mary Horozaniecki
MUSC,Viola,"Staff, Hector Valdivia"
MUSC,Viola,Hector Valdivia
MUSC,Viola,Liz Ericksen
MUSC,Viola,Mary Horozaniecki
MUSC,Viola (Juried),"Staff, Hector Valdivia"
MUSC,Viola (Juried),Hector Valdivia
MUSC,Viola (Juried),Liz Ericksen
MUSC,Viola (Juried),Mary Horozaniecki
MUSC,Cello,"Thomas Rosenberg, Zachery Pelletier"
MUSC,Cello (Juried),"Thomas Rosenberg, Zachery Pelletier"
MUSC,Classical String Bass,Connie Martin
MUSC,Classical String Bass (Juried),Connie Martin
MUSC,Flute,Martha Jamsa
MUSC,Flute (Juried),Martha Jamsa
MUSC,Oboe,Merilee Klemp
MUSC,English Horn,Merilee Klemp
MUSC,Oboe (Juried),Merilee Klemp
MUSC,English Horn (Juried),Merilee Klemp
MUSC,Clarinet,Nina Olsen
MUSC,Clarinet (Juried),Nina Olsen
MUSC,Saxophone,Greg Keel
MUSC,Saxophone (Juried),Greg Keel
MUSC,Bassoon,Ann Pesavento
MUSC,Bassoon (Juried),Ann Pesavento
MUSC,French Horn,Gwen Anderson
MUSC,French Horn (Juried),Gwen Anderson
MUSC,Trumpet,Lynn Deichert
MUSC,Trumpet (Juried),Lynn Deichert
MUSC,Trombone,Ronald Rodman
MUSC,Euphonium,Ronald Rodman
MUSC,Trombone (Juried),Ronald Rodman
MUSC,Euphonium (Juried),Ronald Rodman
MUSC,Tuba,Ronald Rodman
MUSC,Tuba (Juried),Ronald Rodman
MUSC,Orchestral Percussion,Jay Johnson
MUSC,Orchestral Percussion (Juried),Jay Johnson
MUSC,Harp,Elinor Niemisto
MUSC,Harp (Juried),Elinor Niemisto
MUSC,Harpsichord,Janean Hall
MUSC,Harpsicord (Juried),Janean Hall
MUSC,Organ,Janean Hall
MUSC,Organ (Juried),Janean Hall
MUSC,Recorder,Mark Krusemeyer
MUSC,Recorder (Juried),Mark Krusemeyer
MUSC,Jazz Piano,Laura Caviani
MUSC,Jazz Piano (Juried),Laura Caviani
MUSC,Electric &amp; Acoustic Bass,Travis Schilling
MUSC,Electric &amp; Acoustic Bass (Juried),Travis Schilling
MUSC,Jazz and Blues Guitar,Staff
MUSC,Jazz &amp; Blues Guitar (Juried),Staff
MUSC,Drum Set Instruction,Jay Johnson
MUSC,Drum Set Instruction (Juried),Jay Johnson
MUSC,Jazz Improvisation,Staff
MUSC,Jazz Improvisation (Juried),Staff
MUSC,Raga: Vocal or Instrumental Study of Hindustani Music,David Whetstone
MUSC,Raga:Voc/Instr Study Hindustani (Juried),David Whetstone
MUSC,Sitar,David Whetstone
MUSC,Sitar (Juried),David Whetstone
MUSC,Chinese Musical Instruments,Gao Hong
MUSC,Chinese Musical Instruments (Juried),Gao Hong
MUSC,Ethnic Drumming Instruction,Jay Johnson
MUSC,Ethnic Drumming Instruction (Juried),Jay Johnson
MUSC,American Folk Instruments,Mark Kreitzer
MUSC,American Folk Instrument (Juried),Mark Kreitzer
MUSC,Composition (Juried),Jeff Trevino
MUSC,Composition (Juried),Jeff Trevino
MUSC,Recital,Staff
MUSC,Carleton Choir: Bella Cantemus and Men's Chorus,Lawrence Burnett
MUSC,Carleton Choir: Bella Cantemus and Men's Chorus,Lawrence Burnett
MUSC,Carleton Singers,Lawrence Burnett
MUSC,Carleton Orchestra,Hector Valdivia
MUSC,Carleton Chinese Music Ensemble,Gao Hong
MUSC,Carleton Symphony Band,Ronald Rodman
MUSC,Carleton Jazz Ensemble,Laura Caviani
MUSC,West African Drum Ensemble,Jay Johnson
MUSC,Chamber Music,"Nikki Melville, Staff"
MUSC,Opera Workshop,"Lawrence Burnett, Ben Allen"
NEUR,"Genes, Evolution, and Development","Mark McKone, Stephan Zweifel"
NEUR,Genes &amp; Evolution Lab,Jalean Petricka
NEUR,Genes &amp; Evolution Lab,Stephan Zweifel
NEUR,Genes &amp; Evolution Lab,Stephan Zweifel
NEUR,Genes &amp; Evolution Lab,Sarah Deel
NEUR,Genes &amp; Evolution Lab,Sarah Deel
NEUR,Energy Flow in Biological Systems,"Raka Mitra, David Hougen-Eitzman"
NEUR,Genetics,Jennifer Wolff
NEUR,Computability and Complexity,David Liben-Nowell
NEUR,Artificial Intelligence,Anna Rafferty
NEUR,Sensation and Perception,Julia Strand
NEUR,Laboratory Research Methods in Sensation and Perception,Julia Strand
NEUR,Laboratory Research Methods in Sensation and Perception,Julia Strand
NEUR,Sleep and Dreaming,Lawrence Wichlinski
NEUR,Cognitive Neuroscience,Julie Neiworth
PHIL,"Skepticism, God, and Ethical Dilemmas",Douglas Marshall
PHIL,Life and Death,Daniel Groll
PHIL,Logic,Douglas Marshall
PHIL,Analytic Philosophy's Greatest Hits,Jason Decker
PHIL,"Tragedy, Myth and Philosophy","Sarah Jansen, Clara Hardy"
PHIL,Existentialism,Anna Moltchanova
PHIL,Senior Thesis,Daniel Groll
PE,Aerobics,Nancy Stuckmayer
PE,"Aikido, Intermediate",Staff
PE,"Aikido, Beginning",Staff
PE,"Aikido, Advanced",Staff
PE,"Badminton, Beginning",Amy Erickson
PE,"Badminton, Intermediate",Amy Erickson
PE,Ballet I,Jennifer Bader
PE,Ballet II,Jennifer Bader
PE,Fundamentals of Baseball,Aaron Rushing
PE,"Basketball, Three on Three",Guy Kalland
PE,Fitness for the Athlete,Jocelyn Keller
PE,Folk Dance,Staff
PE,"Ice Hockey, Intermediate",Staff
PE,"Ice Hockey, Intermediate",Staff
PE,"Ice Skating, Beginning",Staff
PE,"Ice Skating, Intermediate",Staff
PE,Independent Activities,Fred Hagstrom
PE,Indoor Soccer,Bob Carlson
PE,Intramural Sports,Bob Carlson
PE,Karate,Bob Dobrow
PE,Modern Dance I,Daphne McCoy
PE,Modern Dance II,Daphne McCoy
PE,Contact Improvisation,Jane Shockley
PE,Modern Dance III,Jane Shockley
PE,Rock Climbing,Amy Erickson
PE,Rock Climbing,Amy Erickson
PE,Rock Climbing,Amy Erickson
PE,Women's Health &amp; Fitness,Jocelyn Keller
PE,Social Dance I,Staff
PE,Social Dance II,Staff
PE,"Social Dance, Winter Ball",Staff
PE,Step Aerobics,Russ Petricka
PE,"Swimming, Fitness",Andy Clark
PE,"Swimming, Instructional",Brooke Plotz
PE,Swing Dance,Staff
PE,Tae Kwon Do,Staff
PE,Table Tennis,Bob Pagel
PE,Winter Sport Fitness,Bob Carlson
PE,Yoga,Kris Layman
PE,Yoga,Kris Layman
PE,"Basketball Intercollegiate, Men",Guy Kalland
PE,"Basketball Intercollegiate, Women",Cassie Kosiba
PE,Competitive Dance Club,Aaron Chaput
PE,"Ultimate Frisbee Club, Syzygy and Eclipse",Aaron Chaput
PE,"Ice Hockey Club, Men",Aaron Chaput
PE,"Ice Hockey Club, Women",Aaron Chaput
PE,Nordic Ski Club,Aaron Chaput
PE,Alpine Ski Club,Aaron Chaput
PE,"Swimming/Diving Intercollegiate, Men",Andy Clark
PE,"Swimming/Diving Intercollegiate, Women",Andy Clark
PE,Synchro Swim Club,Aaron Chaput
PE,"Track and Field/Indoor Intercollegiate, Men",Dave Ricks
PE,"Track and Field/Indoor Intercollegiate, Women",Donna Ricks
PE,"Volleyball Club, Men",Aaron Chaput
PE,Principles of Athletic Training,Chad Alladin
PE,Methods: Principles and Philosophy of Coaching,Aaron Rushing
PE,The Spanish Civil War,Jorge Brioso
PHYS,Introduction to Physics: Newtonian Mechanics,Eric Hazlett
PHYS,Newtonian Mechanics Lab,Eric Hazlett
PHYS,Introduction to Physics: Gravity and the Cosmos,Joel Weisberg
PHYS,Gravity and the Cosmos Lab,Joel Weisberg
PHYS,Gravity and the Cosmos Lab,Joel Weisberg
PHYS,Introduction to Physics: Relativity and Particles,Nelson Christensen
PHYS,Introduction to Physics: Relativity and Particles,Eric Hazlett
PHYS,Relativity and Particles Lab,Eric Hazlett
PHYS,Relativity and Particles Lab,Nelson Christensen
PHYS,Relativity and Particles Lab,Nelson Christensen
PHYS,"Introduction to Electricity, Magnetism, and Optics",Marty Baylor
PHYS,"Intro Elect, Magnet, Optic Lab",Marty Baylor
PHYS,"Intro Elect, Magnet, Optic Lab",Marty Baylor
PHYS,Analytical Mechanics,Bill Titus
PHYS,Computational Mechanics,Bill Titus
PHYS,Quantum Mechanics,Arjendu Pattanayak
PHYS,Integrative Exercise,Marty Baylor
PHYS,Integrative Exercise,Cindy Blaha
PHYS,Integrative Exercise,Nelson Christensen
PHYS,Integrative Exercise,Melissa Eblen-Zayas
PHYS,Integrative Exercise,Arjendu Pattanayak
PHYS,Integrative Exercise,Bill Titus
PHYS,Integrative Exercise,Eric Hazlett
PHYS,Integrative Exercise,Joel Weisberg
POSC,Comparative Political Regimes,Dev Gupta
POSC,Politics in America: Liberty and Equality,Steven Schier
POSC,Political Philosophy,Mihaela Czobor-Lupp
POSC,International Relations and World Politics,Hicham Bou Nassif
POSC,Environment and the Evolution of Rules: Designing Institutions to Solve Political Problems,Barbara Allen
POSC,Environmental Justice,Kimberly Smith
POSC,Latin American Politics,Alfred Montero
POSC,Methods of Political Research,Greg Marfleet
POSC,American Foreign Policy,Steven Schier
POSC,Contemporary Politics of the Middle East (1918-1967),Hicham Bou Nassif
POSC,Nietzsche: Beyond Good and Evil,Laurence Cooper
POSC,"Capitalist Crises, Power, and Policy",Kent Freeze
POSC,Urban Political Economy,Richard Keiser
POSC,Memory and Politics,Mihaela Czobor-Lupp
POSC,The Complexity of Politics*,Greg Marfleet
POSC,Nietzsche: Beyond Good and Evil*,Laurence Cooper
POSC,Urban Political Economy*,Richard Keiser
POSC,Political Economy &amp; Ecology of Southeast Asia: Social Changes in Southeast Asia,Tun Myint
POSC,Political Econ &amp; Ecology of S.E. Asia: Diversity of Social Ecological Systems in Southeast Asia,Tun Myint
POSC,Political Economy &amp; Ecology of Southeast Asia: Field Research Experiences and Methods,Tun Myint
POSC,Integrative Exercise,Steven Schier
POSC,Integrative Exercise,Richard Keiser
POSC,Integrative Exercise,Alfred Montero
POSC,Integrative Exercise,Tun Myint
POSC,Integrative Exercise,Barbara Allen
POSC,Integrative Exercise,Laurence Cooper
POSC,Integrative Exercise,Kimberly Smith
POSC,Integrative Exercise,Kent Freeze
POSC,Integrative Exercise,Dev Gupta
POSC,Integrative Exercise,Greg Marfleet
POSC,Integrative Exercise,Mihaela Czobor-Lupp
PSYC,Principles of Psychology,"Julie Neiworth, Andrea Robinson"
PSYC,Principles of Psychology,Adam Johnson
PSYC,Measurement and Data Analysis in Psychology,Ken Abrams
PSYC,Measurement and Data Analysis Lab,Ken Abrams
PSYC,Measurement and Data Analysis Lab,Ken Abrams
PSYC,Sensation and Perception,Julia Strand
PSYC,Laboratory Research Methods in Sensation and Perception,Julia Strand
PSYC,Laboratory Research Methods in Sensation and Perception,Julia Strand
PSYC,Interpersonal Relationships,Adam Johnson
PSYC,Sleep and Dreaming,Lawrence Wichlinski
PSYC,Cognitive Neuroscience,Julie Neiworth
PSYC,Neural Plasticity,Andrea Robinson
PSYC,Psychology of Prejudice,Sharon Akimoto
PSYC,Integrative Exercise,Ken Abrams
PSYC,Integrative Exercise,Sharon Akimoto
PSYC,Integrative Exercise,Steven Kozberg
PSYC,Integrative Exercise,Sarah Meerts
PSYC,Integrative Exercise,Julie Neiworth
PSYC,Integrative Exercise,Julia Strand
PSYC,Integrative Exercise,Mija Van Der Wege
PSYC,Integrative Exercise,Lawrence Wichlinski
PSYC,Integrative Exercise,Andrea Robinson
PSYC,Integrative Exercise,Adam Johnson
PSYC,Integrative Exercise,Susan Marino
PSYC,Integrative Exercise,Kathleen Galotti
PSYC,"Thinking, Reasoning, and Decision Making: Experimental Approaches",Kathleen Galotti
PSYC,Seminar in Developmental Psychology: Cognitive Development During the Preschool Years,Kathleen Galotti
RELG,Understanding Religion,Asuka Sango
RELG,Introduction to Christianity,Kristin Bloomer
RELG,Introduction to Islam,Noah Salomon
RELG,Making Meaning of the Hebrew Bible,Shana Sippy
RELG,Native American Religious Freedom,Michael McNally
RELG,"Tantra: Secrecy, Sex, and the Sublime",Roger Jackson
RELG,Pessimism and the Affirmation of Existence,Kevin Wolfe
RELG,Samurai: Ethics of Death and Loyalty,Asuka Sango
RELG,Theories and Methods in the Study of Religion,Michael McNally
RELG,Spirit Possession,Kristin Bloomer
RELG,Senior Research Seminar,Lori Pearson
RUSS,Elementary Russian,"Laura Goering, Anna Dotlibova"
RUSS,Elementary Russian,"Laura Goering, Anna Dotlibova"
RUSS,Russian Practicum,Anna Dotlibova
RUSS,The Rise of the Russian Novel,Laura Goering
RUSS,Integrative Exercise,Staff
SOAN,Introduction to Anthropology,Constanza Ocampo-Raeder
SOAN,Introduction to Sociology,Brian Fuller
SOAN,Modern Families: An Introduction to the Sociology of the Family,Liz Raleigh
SOAN,"Capitalism, Consumption, and Culture",Brian Fuller
SOAN,Social Movements,Daniel Williams
SOAN,Anthropology of Health and Illness,Pamela Feldman-Savelsberg
SOAN,Race and Ethnicity in the United States,Liz Raleigh
SOAN,Immigration and Immigrants in Europe and the United States,Daniel Williams
SOAN,The Ethics of Civic Engagement,Adrienne Falcon
SOAN,"Mother Earth: Women, Development and the Environment",Constanza Ocampo-Raeder
SOAN,Anthropological Thought and Theory,Jay Levi
SOAN,Integrative Exercise,Jay Levi
SOAN,Integrative Exercise,Liz Raleigh
SOAN,Integrative Exercise,Constanza Ocampo-Raeder
SOAN,Integrative Exercise,Meera Sehgal
SOAN,Integrative Exercise,Pamela Feldman-Savelsberg
SOAN,Biodiversity Conservation and Development,Tsegaye Nega
SPAN,Elementary Spanish,Linda Burdell
SPAN,Elementary Spanish,Linda Burdell
SPAN,Elementary Spanish,Yansi Perez
SPAN,Elementary Spanish,Palmar Alvarez-Blanco
SPAN,Elementary Spanish,Silvia Lopez
SPAN,Elementary Spanish,Fernando Contreras
SPAN,Elementary Spanish,Fernando Contreras
SPAN,Intermediate Spanish,Becky Boling
SPAN,Conversation and Composition,Jorge Brioso
SPAN,Conversation and Composition,Humberto Huergo
SPAN,Coffee and News,Jorge Brioso
SPAN,Introduction to Latin American Literature,Silvia Lopez
SPAN,Myth and History in Central American Literature,Yansi Perez
SPAN,Women Writers in Latin America: Body and Text,Becky Boling
SPAN,The Spanish Civil War,Jorge Brioso
SPAN,Integrative Exercise,Staff
COGSC,Integrative Exercise,Kathleen Galotti
DANCE,Integrative Exercise,Judith Howard
ARTS,Observational Drawing,Daniel Bruggeman
ARTS,Observational Drawing,Eleanor Jensen
ARTS,Introduction to Sculpture,Stephen Mohring
ARTS,Critical Studies in Public Space with N55,Ross Elfline
ARTS,Life Drawing,Daniel Bruggeman
ARTS,Studio Art Seminar in the South Pacific: Mixed-Media Drawing,Fred Hagstrom
ARTS,Photography I,Linda Rossi
ARTS,Painting,David Lefkowitz
ARTS,Printmaking,Fred Hagstrom
ARTS,Studio Art Seminar in th South Pacific: The Physical and Cultural Environment,Fred Hagstrom
ARTS,Advanced Photo: Digital Imaging,Linda Rossi
ARTS,Integrative Exercise,Staff
THEA,The Speaking Voice,David Wiles
THEA,Carleton Players Production,Staff
THEA,Theater History and Theory,Roger Bechtel
THEA,Topics in Theater: Costume Design,Mary Ann Kelling
THEA,Live Performance and Digital Media,Roger Bechtel
THEA,Integrative Exercise,Roger Bechtel
THEA,Contact Improvisation,Jane Shockley
THEA,Movement for the Performer,Jane Shockley
THEA,The Body as Choreographer,Judith Howard
THEA,Shakespeare I,Pierre Hecker
THEA,Christopher Marlowe,Pierre Hecker
THEA,Revenge Tragedy,Pierre Hecker
THEA,Shakespeare I,Pierre Hecker
WGST,Introduction to Women's and Gender Studies,Annette Igra
WGST,Transnational Feminist Activism,Meera Sehgal
WGST,Integrative Exercise,Staff
WGST,Human Reproduction and Sexuality,Matt Rand
WGST,The Rise of the Novel,Jessica Leiman
WGST,African in the Arab World,Thabiti Willis
WGST,Making Meaning of the Hebrew Bible,Shana Sippy
WGST,Spirit Possession,Kristin Bloomer
WGST,Modern Families: An Introduction to the Sociology of the Family,Liz Raleigh
WGST,"Mother Earth: Women, Development and the Environment",Constanza Ocampo-Raeder
WGST,Women Writers in Latin America: Body and Text,Becky Boling
