Dept,CourseName,Instructor
BIOL,"Australia Program: Learning Country, Culture and Environment in Australia",Annie Bosacker
BIOL,Immunology,Debby Walser-Kuntz
BIOL,Immunology Laboratory,Debby Walser-Kuntz
BIOL,Human Physiology,Bridget Jacques-Fricke
BIOL,Human Physiology Laboratory,Bridget Jacques-Fricke
BIOL,Human Physiology Laboratory,Bridget Jacques-Fricke
BIOL,Seminar: Evolution of Sex and Sexes,Mark McKone
BIOL,Seminar: The Molecular Basis of Human Disease,Jalean Petricka
BIOL,Seminar: Evo-Devo; Evolutionary Developmental Biology,Andrea Kalis
BIOL,Critical Reading and Analysis of Primary Literature,Staff
BIOL,Integrative Exercise,"Staff, Mark McKone"
BIOL,Integrative Exercise,"Staff, Mark McKone"
CHEM,Principles of Chemistry,Chris Calderone
CHEM,Principles of Chemistry,Daniela Kohen
CHEM,Principles of Chemistry Lab,Chris Calderone
CHEM,Principles of Chemistry Lab,Daniela Kohen
CHEM,Principles of Chemistry Lab,Chris Calderone
CHEM,Organic Chemistry I,David Alberg
CHEM,Organic Chemistry I Lab,David Alberg
CHEM,Organic Chemistry I Lab,David Alberg
CHEM,Organic Chemistry II,Bryan Whiting
CHEM,Organic Chemistry II Lab,Bryan Whiting
CHEM,Organic Chemistry II Lab,Bryan Whiting
CHEM,Quantum Spectroscopy Laboratory,Trish Ferrett
CHEM,Quantum Spectroscopy Laboratory,Trish Ferrett
CHEM,Quantum Spectroscopy Laboratory,Will Hollingsworth
CHEM,Quantum Spectroscopy Laboratory,Will Hollingsworth
CHEM,Quantum Chemistry,Will Hollingsworth
CHEM,Organic Chemistry III,Gretchen Hofmeister
CHEM,Biophysical Chemistry,Ryan Steed
CHEM,Biophysical Chemistry Lab,Ryan Steed
CHEM,Integrative Exercise,Staff
CHEM,Integrative Exercise,Chris Calderone
CHEM,Integrative Exercise,Joe Chihade
CHEM,Integrative Exercise,"Daniela Kohen, Deborah Gross"
CHEM,Integrative Exercise,Will Hollingsworth
CHIN,Elementary Chinese,"Mark Hansell, Faye Merritt"
CHIN,Elementary Chinese,"Mark Hansell, Faye Merritt"
CHIN,Intermediate Chinese,Qiguang Zhao
CHIN,Intermediate Chinese,Faye Merritt
CHIN,Chinese Popular Culture,Shaohua Guo
CHIN,Advanced Chinese: Poems and Stories,Qiguang Zhao
CAMS,Digital Foundations,John Schott
CAMS,Digital Foundations,Rini Keagy
CAMS,Film History I,Carol Donelan
CAMS,Contemporary Global Cinemas,Jay Beck
CAMS,Digital Editing Workshop,Rini Keagy
CAMS,Television Studio Production,Paul Hager
CAMS,Cinema and Cultural Change in Chile and Argentina,Cecilia Cornejo
CAMS,Visual Studies Seminar,John Schott
CAMS,Integrative Exercise,Carol Donelan
CAMS,Integrative Exercise,John Schott
CAMS,Integrative Exercise,Jay Beck
CAMS,Integrative Exercise,Rini Keagy
CAMS,Photography I,Linda Rossi
CAMS,Advanced Photo: Digital Imaging,Linda Rossi
CAMS,"Introduction to Critical Methods: Structure, Gender, Culture",Scott Carpenter
CAMS,Live Performance and Digital Media,Roger Bechtel
CLAS,Introduction to Classical Studies,Chico Zimmerman
CLAS,The Archaeology of Mediterranean Prehistory: From the Beginning to the Classical Age,Alex Knodell
CLAS,Senior Symposium,Chico Zimmerman
CLAS,"Crisis, Creativity, and Transformation in Late Antiquity",William North
CGSC,"Thinking, Reasoning, and Decision Making: Experimental Approaches",Kathleen Galotti
CGSC,Seminar in Developmental Psychology: Cognitive Development During the Preschool Years,Kathleen Galotti
CGSC,Introduction to Computer Science,Jadrian Miles
CGSC,Introduction to Computer Science,Andy Exley
CGSC,Introduction to Computer Science,Amy Csizmar Dalal
CGSC,Computability and Complexity,David Liben-Nowell
CGSC,Artificial Intelligence,Anna Rafferty
CGSC,Generative Approaches to Syntax,Cherlon Ussery
CGSC,First Language Acquisition,Catherine Fortin
CGSC,Topics in Phonology,Ania Lubowicz
CGSC,Logic,Douglas Marshall
CGSC,Analytic Philosophy's Greatest Hits,Jason Decker
CGSC,Sensation and Perception,Julia Strand
CGSC,Cognitive Neuroscience,Julie Neiworth
CS,Introduction to Computer Science,Jadrian Miles
CS,Introduction to Computer Science,Andy Exley
CS,Introduction to Computer Science,Amy Csizmar Dalal
CS,Data Structures,Anna Rafferty
CS,Computer Organization and Architecture,Jeffrey Ondich
CS,Algorithms,David Liben-Nowell
CS,Computability and Complexity,David Liben-Nowell
CS,Artificial Intelligence,Anna Rafferty
CS,Data Mining,David Musicant
CS,Digital Electronics,Andy Exley
CS,Digital Electronics Lab,Andy Exley
CS,Integrative Exercise,Amy Csizmar Dalal
CS,Integrative Exercise,Amy Csizmar Dalal
CS,Integrative Exercise,Amy Csizmar Dalal
CS,Integrative Exercise,Jadrian Miles
CS,Integrative Exercise,Jadrian Miles
CS,Integrative Exercise,Jadrian Miles
CS,Integrative Exercise,Jeffrey Ondich
CS,Integrative Exercise,Jeffrey Ondich
CS,Integrative Exercise,Jeffrey Ondich
CS,Integrative Exercise,David Liben-Nowell
CCST,International Coffee and News,Noboru Tomonari
CCST,Creative Travel Writing Workshop,Scott Carpenter
CCST,I'm A Stranger Here Myself,Eva Posfay
CCST,Studio Art Seminar in th South Pacific: The Physical and Cultural Environment,Fred Hagstrom
CCST,Global Change Biology,Daniel Hernandez
CCST,Australia Program: Ecological Field Research,Annie Bosacker
CCST,Schooling and Opportunity in American Society,Anita Chikkatur
CCST,Introduction to U.S. Latino/a Literature,Adriana Estill
CCST,Biodiversity Conservation and Development,Tsegaye Nega
CCST,Topics in Cultural Studies: Cultural Reading of Food,Christine Lac
CCST,The Mande of West Africa: A Tradition of Change,Cherif Keita
CCST,Europe in the Twentieth Century,David Tompkins
CCST,Comparative Political Regimes,Dev Gupta
CCST,Latin American Politics,Alfred Montero
CCST,"Capitalist Crises, Power, and Policy",Kent Freeze
CCST,Psychology of Prejudice,Sharon Akimoto
CCST,Introduction to Christianity,Kristin Bloomer
CCST,Native American Religious Freedom,Michael McNally
CCST,Anthropology of Health and Illness,Pamela Feldman-Savelsberg
CCST,Introduction to Latin American Literature,Silvia Lopez
CCST,Women Writers in Latin America: Body and Text,Becky Boling
CCST,Introduction to Women's and Gender Studies,Annette Igra
CCST,Transnational Feminist Activism,Meera Sehgal
DANC,Ballet I,Jennifer Bader
DANC,Modern Dance I: Technique and Theory,Daphne McCoy
DANC,Contact Improvisation,Jane Shockley
DANC,Modern Dance II: Technique and Theory,Daphne McCoy
DANC,Winter Dance,Judith Howard
DANC,Ballet II,Jennifer Bader
DANC,"Winter Dance, Student Choreography",Judith Howard
DANC,Movement for the Performer,Jane Shockley
DANC,The Body as Choreographer,Judith Howard
DANC,Modern Dance III: Technique and Theory,Jane Shockley
DANC,Semaphore Repertory Dance Company,"Judith Howard, Jane Shockley"
ECON,Principles of Macroeconomics,Bruce Wambheim
ECON,Principles of Macroeconomics,Ben Keefer
ECON,Principles of Macroeconomics,Martha Paas
ECON,Principles of Microeconomics,Mark Kanazawa
ECON,Principles of Microeconomics,Lauren Feiler
ECON,Principles of Microeconomics,Prathi Seneviratne
ECON,Analysis of Microeconomic Development Models,Faress Bhuiyan
ECON,The Economics of Sports,Mark Kanazawa
ECON,"Entrepreneurship, Innovation, and Economic Performance",Bruce Dalgaard
ECON,Health Care Economics,Martha Paas
ECON,Economics of Natural Resources and the Environment,Aaron Swoboda
ECON,Labor Economics,Jenny Bourne
ECON,An Economic History of Financial Crises,Bruce Wambheim
ECON,Intermediate Price Theory,Jenny Bourne
ECON,Intermediate Macro Theory,Ben Keefer
ECON,Integrative Exercise,Lauren Feiler
ECON,Integrative Exercise,Prathi Seneviratne
ECON,Integrative Exercise,Faress Bhuiyan
EDUC,Introduction to Educational Studies,Anita Chikkatur
EDUC,The History of American School Reform,Jeff Snyder
EDUC,Multicultural Education,Jeff Snyder
EDUC,Methods of Teaching Science,Eric Swan McDonald
EDUC,Schooling and Opportunity in American Society,Anita Chikkatur
EDUC,Issues in Science Education: Policy and Praxis,Eric Swan McDonald
EDUC,"Thinking, Reasoning, and Decision Making: Experimental Approaches",Kathleen Galotti
